Lugar,Parroquia,Latitude,Lonxitude,Labradío Ferrados,Labradío Hectáreas,Montesío Ferrados,Montesío Hectáreas,Renda
Manduas de Calvelo de Abaixo,Couto de Ansemil,42.736094,-8.274887,23.5,1.26,30,1.61,4 fanegas centeo e 2 capóns
Outro Manduas de Calvelo de Abaixo,Couto de Ansemil,42.735937,-8.27508,60.5,3.24,36,1.93,4 fanegas centeo e 2 capóns
Manduas de Calvelo de Riba,Couto de Ansemil,42.7361751,-8.2753081,30,1.61,60,3.22,2 fanegas de pan terciado
A Pena e Vilanova,Couto de Ansemil,42.7325286,-8.2757574,105,5.63,96,5.15,3 fanegas de pan
Paradela da Lama de Riba,Couto de Ansemil,42.7452104,-8.2754626,37,1.98,27,1.45,1 fanega de millo e 1 de centeo
Paradela de Baixo,Couto de Ansemil,42.7431523,-8.2764445,81,4.34,18,0.96,3 fanegas de centeo
Outro Paradela de Baixo,Couto de Ansemil,42.743202,-8.27756,56,3,36,1.93,6 rapadas de centeo e 2 capóns
Ansemil,Couto de Ansemil,42.7404474,-8.2703487,27,1.45,0,0,1 carga de centeo
Igrexario de Ansemil,Couto de Ansemil,42.7406265,-8.2711758,74,3.97,9,0.48,33 ferrados de pan
Ansemil do Medio,Couto de Ansemil,42.7396155,-8.270919,85.5,4.58,6,0.32,"9 rapadas de centeo, 2 capóns e 1 fanega de castañas verdes"
Ufemias de Ansemil,Couto de Ansemil,42.741635,-8.270761,109.5,5.87,36,1.93,4 fanegas de centeo e media de millo
Parceiros,San Cristovo de Martixe,42.754217,-8.265064,30,1.61,0,0,Media carga de centeo e 2 capóns
Barreiro e Vimieiro,Santiago de Breixa,42.7300186,-8.2583977,42,2.25,26,1.39,20 ferrados de centeo
Outeiro de Cima,Santiago de Breixa,42.739115,-8.262263,66,3.54,36,1.93,3 fanegas de pan
Fares de Pulgazar,Santiago de Breixa,42.7327135,-8.2672942,30,1.61,0,0,"2 fanegas de pan, medio millo e medio centeo"
Bravil de Baixo e de Cima,San Tirso de Manduas,42.7417165,-8.2992,24,1.29,12,0.64,2 fanegas de centeo
Ferrozos,San Tirso de Manduas,42.7291761,-8.2997595,22,1.18,43,2.3,"1,5 fanegas de pan e 2 queixos"
Quintela,San Tirso de Manduas,42.7413662,-8.2938577,50,2.68,12,0.64,15 celemíns de pan
Cardares,San Tirso de Manduas,42.7272951,-8.2890722,13,0.7,60,3.22,1 rapada de centeo
Medelo,San Tirso de Manduas,42.7407203,-8.284697,48,2.57,120,6.43,3 rapadas de centeo
Casal do Souto,Santa María de Carboeiro,42.7383778,-8.2539964,47,2.52,0,0,1 rapada de centeo e 2 galiñas
Outeiro de Baixo,Santa María de Carboeiro,42.740509,-8.25886,54,2.89,12,0.64,"4 celemíns de centeo, 2 de millo e 1 cabrito"
Carracido,San Xoán de Saídres,42.7380994,-8.2490636,48,2.57,96,5.15,1 fanega de centeo e 4 perdices
Vilanova e Serantes,San Xoán de Saídres,42.7337198,-8.247213,72,3.86,36,1.93,4 fanegas de centeo e media de millo
Campo,Santa Baia de Silleda,42.7010055,-8.2476605,21,1.13,0,0,6 ferrados centeo e 2 capóns
Quintáns de Ansemil,San Martiño de Pazos,42.7596786,-8.278897,Descoñecido,Descoñecido,Descoñecido,Descoñecido,"3,5 fanegas de centeo e 2 galiñas"
Gamil,San Fiz de Margaride,42.7073402,-8.2767219,54,2.89,96,5.15,1 rapada de centeo e 6 perdigóns
Roiriz,San Martiño de Negreiros,42.712674,-8.267892,34,1.29,72,3.86,2 rapadas de trigo e 1 galiña
Senra,San Salvador de Escuadro,42.69709,-8.3189312,120,6.43,0,0,2 fanegas de centeo e 2 capóns
Sar ,San Salvador de Escuadro,42.6965815,-8.311738,Descoñecido,Descoñecido,Descoñecido,Descoñecido,1 fanega de pan
Bustelo,San Salvador de Escuadro,42.6951678,-8.2870739,50,2.68,36,1.93,"4,5 ferrados de pan"
Cachamel,San Martiño de Rellas,42.7072119,-8.2857334,36,1.93,0,0,2 fanegas de centeo
San Mamede de Negreiros,San Mamede do Castro,42.7188937,-8.249917,6,0.32,0,0,8 marabedís
Meixomence,San Miguel de Ponte,42.7129836,-8.2415738,55,2.95,30,1.61,1 fanega de pan
Casal da Riba,San Miguel de Ponte,42.7214045,-8.234502,37,1.98,3,0.16,1 fanega de centeo
Porto e Casal,San Martiño de Fiestras,42.6859477,-8.2805162,30,1.61,4,0.21,26 ferrados de pan
Senra e Fiestras,San Martiño de Fiestras,42.6749665,-8.2717664,36,1.93,30,1.61,1 fanega de centeo
Recemil,San Martiño de Fiestras,42.6766466,-8.274397,60,3.22,0,0,"3,5 fanegas de centeo"
Sestelo,San Miguel de Siador,42.6788021,-8.2528418,42,2.25,26,1.93,8 ferrados de centeo e 4 de millo
Busto,Santa María de Graba,42.6700184,-8.2886118,6,0.32,0,0,5 nietos de manteiga
Santa Marina,Santa María de Graba,42.6630226,-8.2952856,36,1.93,12,0.64,3 rapadas de centeo e 1 azumbre de manteiga
Prado,San Martiño de Prado,42.6838266,-8.1903875,15.5,0.83,0,0,2 tegas de centeo e 1 de millo
Outeiro,San Martiño de Prado,42.686436,-8.1919089,20,1.98,0,0,2 fanegas de pan e 2 capóns ou 3 perdices
Milleiros,Santa Baia de Losón,42.7496391,-8.2094398,13,"0,7",0,0,3 rapadas de centeo e 2 capóns
Quintas e Rielo,San Xoán de Palmou,42.7305151,-8.1161119,60,3.22,63,3.38,3 fanegas de centeo
San Martiño de Riobó,San Martiño de Riobó,42.735314,-8.4032515,4,0.21,0,0,2 ferrados de centeo
Cardaso,San Pedro de Quintillán,42.6306798,-8.3789802,8,"1,98",0,0,8 ferrados de centeo e 1 azumbre de manteiga
